"","param","equation_of_line","rsquared_value","y_intercept"
"1","S_1","y = 0.21 + 0.04 x",0.84437453737972,0.212666666666667
"2","S_2","y = 0.21 + 0.03 x",0.941094457999303,0.212333333333334
"3","S_3","y = 0.17 + 0.03 x",0.988546005301023,0.170333333333333
"4","S_4","y = 0.15 + 0.03 x",0.923076923076924,0.151666666666667
"5","S_5","y = 0.12 + 0.03 x",0.901840490797546,0.119666666666667
