"","pbSi","MARS","flux_values"
"1",3.95571425,10,3955.71425
"2",3.951514008,10,3951.514008
"3",3.422283577,10,3422.283577
"4",3.187070052,10,3187.070052
"5",2.783846866,10,2783.846866
