time,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,11,12,13,14,15
3,0.26641,0.20112,0.05019,0.17418,0.10673,0.04408,0.18264,0.07483,0.14656,0.03135,0.02278,0.17927,0.08998,0.05913,0.08216
4,0.2759,0.22166,0.18829,0.24762,0.18778,0.19823,0.18993,0.15632,0.21083,0.22542,0.17956,0.18813,0.11992,0.19897,0.25483
5,0.31288,0.25356,0.23317,0.25888,0.20508,0.20775,0.28127,0.30553,0.24236,0.26082,0.24635,0.24044,0.23971,0.23745,0.25564
